Tipo de Producto,Código Barras,SKU,Variante,Precio Venta
EM JOYSTICK,6905631114017,40280066,GAMEPAD 4 GATILLOS AK66,"3.990,00"
AC VARIOS,2019033556031,18525603,GAMEPAD CON BOTON L Y R TC5603,"4.990,00"
EM JOYSTICK,7252816068986,87286292,GAMEPAD L1-R1 IRM-06292 VENTILADOR,"11.990,00"
EM VARIOS,2019033555980,18525598,GAMEPAD PARA CELULAR TC5598,"3.500,00"
EM JOYSTICK,8745125896528,40280016,GAMEPAD R1-L1 AK-16,"4.500,00"
EM JOYSTICK,7858816061813,87286181,GAMEPAD R1-L1 IRM-06181,"3.500,00"
EM VARIOS,6971835790128,10001011,GAMEPAD R1-L1 Y ANALOGO COD 1011,"6.500,00"
EM JOYSTICK,10013627,10013627,GAMEPAD R1-L1 Y ANALOGO COD 13627,"6.990,00"
EM JOYSTICK,10000673,10000673,GAMEPAD R1-L1 Y ANALOGO COD 673,"5.990,00"
EM JOYSTICK,7858816059100,87285910,GAMEPAD R1-L1 Y ANALOGO IRM-05910,"3.990,00"
AC TAPA TRANSPARENTE,345714276,345714276,GOMA BORDE COLOR J5 PRIME,"4.000,00"
AC TAPA TRANSPARENTE,110347062,110347062,GOMA BRILLANTE BORDE BLCO SAM 9000 NOTE 1,"3.500,00"
AC TAPA TRANSPARENTE,11002835,11002835,GOMA IPAD,"6.000,00"
EM ADAPTADOR,63020439,63020439,GOOGLE CHROMECAST 3GEN,"39.990,00"
EM ADAPTADOR,842776106131,29GGL0CH3R,GOOGLE CHROMECAST TERCERA GENERACION,"39.990,00"
EM VEHICULO,6927696368136,25700303,GPS TRACKER 303F 2G,"46.850,00"
